                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.59289,                0.36926,                0.97166,                 0.9637,                0.95893,                0.98164,                0.86104,                0.54352,                0.26592,                0.98138,               0.008449,               0.008449,               0.008449
                     50,                 0.5915,                0.36939,                0.97059,                0.95813,                0.96194,                0.98124,                0.85794,                0.54215,                0.26735,                0.97899,               0.008416,               0.008416,               0.008416
                     51,                 0.5868,                0.36887,                0.96877,                 0.9657,                0.95338,                0.97973,                 0.8574,                 0.5443,                0.26729,                0.98295,               0.008383,               0.008383,               0.008383
                     52,                0.58734,                0.36285,                0.96831,                0.95888,                 0.9621,                0.98225,                 0.8604,                0.54439,                0.26508,                0.98278,                0.00835,                0.00835,                0.00835
                     53,                0.58823,                 0.3673,                0.96936,                0.95958,                 0.9632,                0.98116,                0.85761,                0.54329,                0.26467,                0.98166,               0.008317,               0.008317,               0.008317
                     54,                0.58241,                 0.3634,                0.96571,                 0.9548,                 0.9667,                 0.9776,                0.85465,                0.54396,                0.26661,                0.98219,               0.008284,               0.008284,               0.008284
                     55,                0.58135,                0.36022,                0.96403,                0.96046,                0.95659,                 0.9768,                 0.8563,                0.54351,                0.26813,                0.98171,               0.008251,               0.008251,               0.008251
                     56,                0.58182,                0.35965,                0.96721,                0.95359,                0.96205,                0.97895,                0.86005,                0.53992,                  0.263,                0.98009,               0.008218,               0.008218,               0.008218
                     57,                0.58019,                0.35731,                0.96577,                 0.9593,                0.96396,                 0.9796,                0.85891,                0.53922,                0.25949,                0.98059,               0.008185,               0.008185,               0.008185
                     58,                0.57892,                0.35773,                 0.9657,                0.96745,                0.95763,                 0.9794,                0.85741,                0.54002,                0.25848,                0.98003,               0.008152,               0.008152,               0.008152
                     59,                0.57843,                0.35682,                0.96349,                 0.9637,                0.96332,                 0.9818,                0.85913,                0.54056,                0.25917,                0.97975,               0.008119,               0.008119,               0.008119
                     60,                0.57513,                 0.3564,                0.96142,                0.96327,                0.96663,                0.98092,                0.85971,                0.54052,                0.25796,                0.98037,               0.008086,               0.008086,               0.008086
                     61,                 0.5778,                0.36131,                0.96589,                0.95836,                0.96676,                 0.9791,                0.85763,                0.53995,                0.25816,                0.98082,               0.008053,               0.008053,               0.008053
                     62,                0.57478,                0.34815,                0.95913,                0.96469,                0.96078,                0.97953,                0.85819,                0.53862,                0.25872,                0.98105,                0.00802,                0.00802,                0.00802
                     63,                0.57293,                0.35001,                0.96045,                0.95991,                0.96627,                0.97991,                0.85883,                0.53751,                0.25742,                0.98015,               0.007987,               0.007987,               0.007987
                     64,                0.56947,                0.34864,                0.96227,                0.96005,                0.96574,                0.98222,                0.86135,                0.53832,                0.26061,                0.98064,               0.007954,               0.007954,               0.007954
                     65,                0.57359,                0.35355,                0.96367,                 0.9562,                0.96916,                 0.9812,                0.86025,                 0.5378,                0.26148,                0.98138,               0.007921,               0.007921,               0.007921
                     66,                0.57038,                0.34839,                0.95789,                0.95455,                0.96906,                0.98155,                0.86149,                0.53609,                0.26138,                0.98033,               0.007888,               0.007888,               0.007888
                     67,                0.56508,                0.35078,                0.95746,                0.95538,                0.97036,                0.97954,                0.85993,                0.53471,                0.26048,                0.97937,               0.007855,               0.007855,               0.007855
                     68,                 0.5696,                0.35073,                 0.9599,                 0.9537,                0.96824,                0.98031,                0.85905,                0.53395,                0.26104,                0.97977,               0.007822,               0.007822,               0.007822
                     69,                0.56435,                0.34134,                0.95884,                0.96005,                0.96137,                0.98098,                0.86063,                0.53441,                0.25957,                0.98044,               0.007789,               0.007789,               0.007789
                     70,                0.56362,                0.34446,                0.95652,                0.95738,                0.96084,                0.98076,                0.86247,                0.53478,                0.25909,                0.98032,               0.007756,               0.007756,               0.007756
                     71,                0.56568,                0.34307,                0.95851,                0.96004,                0.96027,                0.98086,                0.86069,                0.53521,                0.25936,                0.98095,               0.007723,               0.007723,               0.007723
                     72,                0.56038,                 0.3392,                0.95656,                0.95685,                0.96004,                0.98063,                0.86035,                0.53557,                0.26082,                0.98143,                0.00769,                0.00769,                0.00769
                     73,                0.55879,                0.34224,                0.95295,                 0.9566,                 0.9634,                0.98008,                0.86005,                0.53404,                0.25972,                   0.98,               0.007657,               0.007657,               0.007657
                     74,                0.56077,                0.34511,                0.95513,                0.95595,                0.96657,                0.98077,                0.86174,                0.53386,                0.25845,                0.97969,               0.007624,               0.007624,               0.007624
                     75,                0.55909,                0.34124,                0.95589,                0.95633,                0.96333,                0.98155,                0.86082,                0.53344,                0.25687,                0.97951,               0.007591,               0.007591,               0.007591
                     76,                0.55889,                0.34029,                0.95559,                0.95723,                0.96479,                0.98185,                0.86151,                0.53333,                 0.2571,                 0.9793,               0.007558,               0.007558,               0.007558
                     77,                0.55822,                0.33796,                0.95461,                0.95597,                0.96389,                0.98229,                0.86248,                0.53313,                 0.2562,                0.97936,               0.007525,               0.007525,               0.007525
                     78,                0.55257,                0.33799,                0.94989,                0.95802,                0.96457,                0.98238,                0.86331,                0.53353,                0.25561,                0.97977,               0.007492,               0.007492,               0.007492
                     79,                 0.5508,                0.33801,                0.95122,                0.95393,                0.96778,                0.98216,                0.86154,                 0.5336,                0.25539,                0.98004,               0.007459,               0.007459,               0.007459
                     80,                0.55251,                0.33768,                0.95211,                0.95211,                0.96922,                0.98156,                0.86206,                0.53312,                0.25513,                0.97978,               0.007426,               0.007426,               0.007426
                     81,                0.55303,                0.33752,                0.95214,                 0.9573,                0.96237,                0.98322,                0.86294,                0.53325,                0.25493,                0.98027,               0.007393,               0.007393,               0.007393
                     82,                0.55194,                0.33254,                0.94922,                 0.9621,                   0.96,                0.98342,                 0.8635,                0.53271,                0.25492,                0.97998,                0.00736,                0.00736,                0.00736
                     83,                 0.5476,                0.33525,                0.94832,                0.96289,                0.96176,                0.98241,                 0.8633,                 0.5326,                0.25443,                0.98026,               0.007327,               0.007327,               0.007327
                     84,                0.54831,                0.33066,                0.94915,                0.96157,                0.96401,                0.98355,                0.86513,                 0.5324,                0.25394,                0.98028,               0.007294,               0.007294,               0.007294
                     85,                0.55069,                0.33344,                0.95259,                0.96257,                0.96493,                0.98337,                0.86527,                0.53207,                0.25387,                0.98009,               0.007261,               0.007261,               0.007261
                     86,                0.55081,                0.33671,                0.95075,                0.96012,                0.96612,                 0.9834,                0.86479,                0.53207,                0.25346,                0.98041,               0.007228,               0.007228,               0.007228
                     87,                0.54574,                0.33363,                0.95072,                0.95901,                0.96631,                0.98344,                0.86498,                0.53197,                0.25324,                0.98042,               0.007195,               0.007195,               0.007195
                     88,                0.54463,                0.32641,                0.94903,                0.95823,                0.96741,                0.98313,                0.86521,                0.53198,                0.25394,                0.98058,               0.007162,               0.007162,               0.007162
                     89,                0.54622,                 0.3355,                0.94981,                 0.9578,                0.96772,                0.98318,                 0.8652,                0.53201,                0.25345,                0.98066,               0.007129,               0.007129,               0.007129
                     90,                0.54552,                0.33109,                0.95019,                0.95772,                0.96611,                0.98291,                0.86489,                0.53176,                0.25414,                0.98032,               0.007096,               0.007096,               0.007096
                     91,                 0.5395,                0.32699,                 0.9437,                0.96008,                0.96522,                0.98291,                0.86518,                0.53158,                0.25381,                0.98002,               0.007063,               0.007063,               0.007063
                     92,                0.54268,                0.32662,                0.94759,                0.96393,                0.96183,                0.98303,                0.86525,                 0.5314,                 0.2538,                0.97986,                0.00703,                0.00703,                0.00703
                     93,                0.54521,                0.33031,                0.94843,                0.96402,                 0.9615,                0.98318,                0.86459,                0.53109,                0.25349,                0.97979,               0.006997,               0.006997,               0.006997
                     94,                0.53838,                0.32591,                0.94444,                0.96286,                0.96144,                0.98316,                0.86544,                0.53107,                0.25341,                0.97984,               0.006964,               0.006964,               0.006964
                     95,                0.54215,                0.32504,                0.94772,                0.96307,                0.96128,                0.98306,                0.86553,                 0.5308,                0.25324,                 0.9798,               0.006931,               0.006931,               0.006931
                     96,                0.53646,                0.32154,                0.94415,                0.96579,                0.95988,                0.98309,                0.86518,                0.53078,                 0.2532,                0.97985,               0.006898,               0.006898,               0.006898
                     97,                0.53976,                0.32812,                0.94693,                0.96479,                0.96002,                 0.9833,                0.86646,                 0.5306,                0.25332,                 0.9798,               0.006865,               0.006865,               0.006865
                     98,                0.53902,                0.32222,                0.94625,                0.96481,                0.95961,                0.98213,                0.86606,                0.53026,                0.25344,                0.97967,               0.006832,               0.006832,               0.006832
                     99,                0.53549,                0.32044,                0.94525,                0.96482,                0.95964,                0.98252,                0.86679,                0.53032,                0.25296,                0.97991,               0.006799,               0.006799,               0.006799
                    100,                0.53454,                0.32108,                0.94395,                0.96454,                0.95947,                0.98269,                 0.8673,                0.52996,                 0.2531,                0.97973,               0.006766,               0.006766,               0.006766
                    101,                0.53403,                0.32275,                0.94517,                0.96454,                0.95913,                0.98248,                 0.8673,                0.52976,                0.25291,                0.97962,               0.006733,               0.006733,               0.006733
                    102,                0.53323,                0.32093,                0.94252,                0.96364,                0.96045,                0.98259,                0.86656,                 0.5299,                0.25256,                0.97992,                 0.0067,                 0.0067,                 0.0067
                    103,                0.53495,                0.32225,                 0.9459,                0.96381,                0.95974,                0.98227,                0.86692,                0.52981,                0.25287,                0.98004,               0.006667,               0.006667,               0.006667
                    104,                0.53215,                0.31568,                0.94185,                0.96398,                0.95971,                0.98239,                0.86665,                0.52966,                0.25281,                0.98008,               0.006634,               0.006634,               0.006634
                    105,                0.53029,                0.31977,                0.93922,                0.96366,                0.95982,                0.98299,                0.86688,                0.52968,                0.25262,                 0.9802,               0.006601,               0.006601,               0.006601
                    106,                  0.531,                0.31659,                0.94207,                0.96403,                0.95957,                0.98307,                0.86657,                0.52968,                0.25313,                0.98018,               0.006568,               0.006568,               0.006568
                    107,                0.53181,                0.31904,                0.94316,                0.96385,                0.95905,                0.98316,                0.86724,                0.52969,                0.25291,                0.98022,               0.006535,               0.006535,               0.006535
                    108,                0.52805,                0.32003,                0.93944,                0.96701,                 0.9588,                0.98281,                0.86696,                0.52961,                0.25282,                0.98028,               0.006502,               0.006502,               0.006502
                    109,                0.53506,                0.32145,                0.94563,                0.96555,                0.95722,                0.98295,                0.86699,                0.52962,                0.25299,                0.98032,               0.006469,               0.006469,               0.006469
                    110,                  0.528,                0.31758,                0.94019,                0.96555,                0.95695,                  0.983,                 0.8673,                0.52947,                0.25239,                0.98046,               0.006436,               0.006436,               0.006436
                    111,                0.52754,                0.31489,                0.94187,                0.96566,                0.95665,                 0.9829,                0.86661,                0.52932,                0.25214,                0.98044,               0.006403,               0.006403,               0.006403
                    112,                0.52433,                0.31114,                0.93832,                0.96587,                0.95643,                0.98283,                0.86651,                0.52941,                0.25279,                0.98064,                0.00637,                0.00637,                0.00637
                    113,                0.52232,                0.31055,                0.93562,                0.96483,                0.95693,                0.98263,                0.86619,                0.52946,                0.25245,                0.98076,               0.006337,               0.006337,               0.006337
