                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.55512,                0.36171,                0.97598,                0.97188,                0.96607,                0.97808,                0.85223,                0.55883,                0.26381,                0.94552,               0.005677,               0.005677,               0.005677
                    134,                0.53734,                0.34933,                0.96845,                0.96988,                0.96312,                0.98047,                0.85176,                0.55989,                0.27086,                0.94587,               0.005644,               0.005644,               0.005644
                    135,                0.54486,                0.35334,                0.97161,                0.96723,                0.96419,                0.98022,                0.85532,                0.56391,                0.26856,                0.94723,               0.005611,               0.005611,               0.005611
                    136,                0.54095,                0.36325,                0.97319,                0.96933,                0.96405,                0.97809,                0.85187,                0.56576,                0.27165,                 0.9495,               0.005578,               0.005578,               0.005578
                    137,                0.53693,                0.34958,                0.97006,                0.96913,                0.96789,                0.97893,                0.85497,                0.56367,                0.27131,                0.94944,               0.005545,               0.005545,               0.005545
                    138,                 0.5418,                0.35138,                0.97498,                0.96166,                0.97532,                0.98093,                0.85585,                0.56327,                0.27163,                0.95059,               0.005512,               0.005512,               0.005512
                    139,                0.54275,                0.35881,                0.96726,                0.96606,                0.97009,                0.98076,                0.86207,                0.56351,                0.27044,                0.94989,               0.005479,               0.005479,               0.005479
                    140,                0.53217,                0.34581,                0.96758,                0.96444,                0.97428,                0.98094,                 0.8584,                0.56499,                 0.2701,                0.95833,               0.005446,               0.005446,               0.005446
                    141,                0.53812,                0.35282,                0.96781,                0.96713,                0.97155,                0.98254,                0.85935,                0.56334,                0.26823,                0.95969,               0.005413,               0.005413,               0.005413
                    142,                0.53461,                0.34625,                0.96982,                0.95591,                0.97461,                0.98357,                0.86359,                0.56379,                0.26634,                0.95699,                0.00538,                0.00538,                0.00538
                    143,                0.52962,                0.34583,                0.96364,                0.95731,                0.97209,                0.98334,                0.85877,                0.56472,                 0.2696,                0.95635,               0.005347,               0.005347,               0.005347
                    144,                0.53269,                0.34937,                0.97059,                0.95874,                0.96615,                 0.9832,                0.86054,                0.56448,                 0.2664,                0.95871,               0.005314,               0.005314,               0.005314
                    145,                0.53434,                0.35045,                0.96427,                0.96682,                0.96033,                0.98363,                0.85777,                0.56412,                0.26144,                0.95482,               0.005281,               0.005281,               0.005281
                    146,                0.53322,                0.34599,                0.96358,                 0.9642,                0.96419,                0.98269,                0.86173,                0.56238,                0.26212,                0.94939,               0.005248,               0.005248,               0.005248
                    147,                0.53195,                0.33977,                0.96302,                0.96387,                0.96675,                0.98331,                0.86171,                0.56392,                0.26044,                0.94849,               0.005215,               0.005215,               0.005215
                    148,                0.53572,                0.34214,                0.96425,                0.96465,                 0.9671,                0.98218,                0.86033,                0.56151,                0.25912,                0.94614,               0.005182,               0.005182,               0.005182
                    149,                0.52951,                0.33828,                0.96674,                 0.9625,                0.97014,                0.98329,                0.85959,                0.56075,                0.25792,                0.94694,               0.005149,               0.005149,               0.005149
                    150,                0.52482,                0.33619,                0.95597,                0.96325,                0.96691,                0.97992,                0.85633,                0.55884,                0.26277,                0.94599,               0.005116,               0.005116,               0.005116
                    151,                0.52835,                0.34846,                0.96517,                0.96749,                0.96339,                0.98156,                 0.8563,                0.55873,                0.26113,                0.94599,               0.005083,               0.005083,               0.005083
                    152,                0.53025,                0.34754,                0.96284,                0.96718,                0.96608,                0.98195,                0.85658,                0.55835,                0.26108,                0.94612,                0.00505,                0.00505,                0.00505
                    153,                0.52904,                0.34267,                0.96495,                0.95501,                0.98053,                0.98269,                0.85873,                0.55965,                0.26097,                0.94651,               0.005017,               0.005017,               0.005017
                    154,                0.53261,                0.35431,                0.97075,                0.96058,                0.97146,                0.98252,                0.85607,                0.55979,                0.26262,                0.94692,               0.004984,               0.004984,               0.004984
                    155,                0.52737,                0.34494,                0.96928,                0.96322,                0.97408,                0.98119,                0.85474,                0.56177,                0.25967,                0.94797,               0.004951,               0.004951,               0.004951
                    156,                0.52484,                0.33986,                0.96171,                0.96695,                 0.9662,                0.98068,                 0.8578,                0.56153,                0.25802,                0.94909,               0.004918,               0.004918,               0.004918
                    157,                0.52156,                0.33969,                0.95547,                0.96251,                0.96596,                0.98098,                 0.8615,                0.55993,                0.25575,                0.94791,               0.004885,               0.004885,               0.004885
                    158,                0.52508,                0.33397,                0.95999,                0.96924,                0.96591,                0.98158,                0.86211,                0.55828,                0.25738,                0.94716,               0.004852,               0.004852,               0.004852
                    159,                0.52033,                0.33125,                0.96044,                0.96972,                 0.9657,                0.98184,                0.86571,                0.55588,                0.25527,                0.94503,               0.004819,               0.004819,               0.004819
                    160,                0.52407,                0.33189,                0.95654,                0.96813,                0.96568,                 0.9815,                 0.8664,                0.55625,                0.25715,                0.94469,               0.004786,               0.004786,               0.004786
                    161,                0.52646,                0.33374,                0.96612,                0.96841,                0.96447,                0.98237,                0.86807,                0.55514,                 0.2581,                0.94465,               0.004753,               0.004753,               0.004753
                    162,                0.51703,                0.33203,                  0.962,                0.96628,                0.96348,                0.98046,                0.86417,                0.55511,                0.25915,                0.94588,                0.00472,                0.00472,                0.00472
